iter	 posterior	 likelihood	 prior	 mu_pandas	 sigma_pandas 	 mu_bears 	 sigma_bears 	 alpha 	 beta 	 mu_diff
121	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
122	0.4199664506328986	-53.896035882168746	-27.256121836510914	92.45274925107229	11.988367582059874	71.66480692423964	12.663711892603663	0.30950823621803925	0.06025765026499219	20.78794232683265
123	1.031515086691087	-53.65465617264467	-26.465986459343895	93.62275618407841	12.972770261736727	70.08498589643408	13.329375427729792	0.6516256069997436	0.09361525401026793	23.537770287644335
124	1.031515086691087	-53.65465617264467	-26.465986459343895	93.62275618407841	12.972770261736727	70.08498589643408	13.329375427729792	0.6516256069997436	0.09361525401026793	23.537770287644335
125	0.09861371211432868	-53.679140824640754	-26.342888095233494	92.93551195260805	12.23561661003484	71.39036980103586	13.168643841473473	0.7135024775158367	0.02426108007263228	21.545142151572193
126	0.09861371211432868	-53.679140824640754	-26.342888095233494	92.93551195260805	12.23561661003484	71.39036980103586	13.168643841473473	0.7135024775158367	0.02426108007263228	21.545142151572193
127	0.09861371211432868	-53.679140824640754	-26.342888095233494	92.93551195260805	12.23561661003484	71.39036980103586	13.168643841473473	0.7135024775158367	0.02426108007263228	21.545142151572193
128	0.09861371211432868	-53.679140824640754	-26.342888095233494	92.93551195260805	12.23561661003484	71.39036980103586	13.168643841473473	0.7135024775158367	0.02426108007263228	21.545142151572193
129	-0.707516738124994	-53.82852691373243	-26.901018744266807	92.14422277617514	12.949329484116927	70.94456229555855	13.700930941916262	0.4230259946348677	0.06045926511134081	21.199660480616586
130	-0.707516738124994	-53.82852691373243	-26.901018744266807	92.14422277617514	12.949329484116927	70.94456229555855	13.700930941916262	0.4230259946348677	0.06045926511134081	21.199660480616586
131	-0.707516738124994	-53.82852691373243	-26.901018744266807	92.14422277617514	12.949329484116927	70.94456229555855	13.700930941916262	0.4230259946348677	0.06045926511134081	21.199660480616586
132	-0.707516738124994	-53.82852691373243	-26.901018744266807	92.14422277617514	12.949329484116927	70.94456229555855	13.700930941916262	0.4230259946348677	0.06045926511134081	21.199660480616586
133	-0.707516738124994	-53.82852691373243	-26.901018744266807	92.14422277617514	12.949329484116927	70.94456229555855	13.700930941916262	0.4230259946348677	0.06045926511134081	21.199660480616586
134	-4.012322634421068	-53.33813207459556	-31.40373621782474	93.0409201142197	12.290374794084972	72.79046952096476	14.359604281852416	0.6317997993840276	0.3345640584428875	20.25045059325494
135	-4.012322634421068	-53.33813207459556	-31.40373621782474	93.0409201142197	12.290374794084972	72.79046952096476	14.359604281852416	0.6317997993840276	0.3345640584428875	20.25045059325494
136	3.7322970685438577	-54.038206226979625	-26.971364996896824	91.49224870600185	11.505349154797162	73.92182657456058	14.130247642421894	0.5418717589681777	0.10826698117903943	17.570422131441262
137	3.7322970685438577	-54.038206226979625	-26.971364996896824	91.49224870600185	11.505349154797162	73.92182657456058	14.130247642421894	0.5418717589681777	0.10826698117903943	17.570422131441262
138	-0.5883504294211548	-53.791221951145275	-27.806699702152326	91.77237420640779	11.278295004202834	75.6903436229251	13.535824615337443	0.2879447051164217	0.0024691628601687388	16.08203058348269
139	-0.5883504294211548	-53.791221951145275	-27.806699702152326	91.77237420640779	11.278295004202834	75.6903436229251	13.535824615337443	0.2879447051164217	0.0024691628601687388	16.08203058348269
140	-0.5883504294211548	-53.791221951145275	-27.806699702152326	91.77237420640779	11.278295004202834	75.6903436229251	13.535824615337443	0.2879447051164217	0.0024691628601687388	16.08203058348269
141	-0.5883504294211548	-53.791221951145275	-27.806699702152326	91.77237420640779	11.278295004202834	75.6903436229251	13.535824615337443	0.2879447051164217	0.0024691628601687388	16.08203058348269
142	-0.5883504294211548	-53.791221951145275	-27.806699702152326	91.77237420640779	11.278295004202834	75.6903436229251	13.535824615337443	0.2879447051164217	0.0024691628601687388	16.08203058348269
143	-0.5883504294211548	-53.791221951145275	-27.806699702152326	91.77237420640779	11.278295004202834	75.6903436229251	13.535824615337443	0.2879447051164217	0.0024691628601687388	16.08203058348269
144	-0.9413968872911198	-52.89026494490752	-29.649053595681202	93.57037691850962	11.71896207995911	76.08224388175265	13.679448686854746	0.5145758811834437	0.24261889612541943	17.488133036756977
145	-0.9413968872911198	-52.89026494490752	-29.649053595681202	93.57037691850962	11.71896207995911	76.08224388175265	13.679448686854746	0.5145758811834437	0.24261889612541943	17.488133036756977
146	2.1258229730234746	-53.03985444299396	-27.37364112457129	93.77582391435264	11.445863341426653	75.69811612891073	14.53965955415183	0.4602082223589359	0.10750701934036822	18.077707785441916
147	2.1258229730234746	-53.03985444299396	-27.37364112457129	93.77582391435264	11.445863341426653	75.69811612891073	14.53965955415183	0.4602082223589359	0.10750701934036822	18.077707785441916
148	0.3368079662807304	-53.696989983105894	-26.37969761817863	92.71473841787746	11.3433155177905	74.39133106030697	15.535533424868708	0.7034330704088325	0.09392666608832956	18.32340735757049
149	0.24225975416759127	-53.85865229994447	-25.975775547172454	91.98839459168612	11.092751079925574	76.37812188437911	14.659625769544537	1.0988908917813727	0.15179748283767203	15.610272707307004
150	1.0373743776551834	-53.26343194276198	-25.53362152669976	93.74525271440449	10.862753548270781	76.48050894893309	14.528943290491585	1.1861871344614765	0.067130959872024	17.264743765471394
151	-0.44050559685210544	-53.70051846991466	-25.537040596399194	94.55254526371867	9.942252532808862	74.71048102805194	14.378737880579894	0.96955049532588	0.08108845324997449	19.842064235666726
152	-0.4456870414597205	-53.59208137661868	-26.091164731154887	94.71596371175067	9.740749762075282	76.04928099831749	13.409524780813262	0.6480505371673269	0.09446515370539577	18.66668271343319
153	-0.4456870414597205	-53.59208137661868	-26.091164731154887	94.71596371175067	9.740749762075282	76.04928099831749	13.409524780813262	0.6480505371673269	0.09446515370539577	18.66668271343319
154	-0.0759873946937546	-53.29424453479096	-26.46498896767636	94.02236433364867	10.679492781460322	75.43667618141694	14.011245840183678	0.8512107150725094	0.02238614234358327	18.585688152231725
155	0.34732679511311915	-53.76332151487739	-25.648585192476816	92.40962357370516	11.032364858184968	75.39371025609024	14.443383097404283	0.9521057940243887	0.0755861533764487	17.015913317614917
156	0.34732679511311915	-53.76332151487739	-25.648585192476816	92.40962357370516	11.032364858184968	75.39371025609024	14.443383097404283	0.9521057940243887	0.0755861533764487	17.015913317614917
